steamid,num_games_owned,playtime_forever
76561199205964712,33,169
76561198071845945,130,14478
76561198866443782,29,4316
76561199390023912,2,3930
76561198303362394,308,8450
76561199226160976,40,3756
76561198263781274,108,67086
76561198963960477,24,16865
76561198055069378,51,24121
76561199013671396,13,5209
76561199140815732,9,4345
76561198876330341,11,4550
76561199210504605,21,1230
76561199127022179,11,12416
76561198871033045,63,13911
76561199121295315,73,72445
76561199218190643,16,5545
76561199343382751,6,2413
76561198922917365,4,18497
76561199515359202,1,3019
76561198279672923,143,25405
76561199487451120,1,3060
76561198306669909,129,4197
76561198227533140,116,45019
76561199223859683,18,19061
76561199122652305,11,1317
76561199339993441,4,7687
76561197963128037,54,2118
76561199182894392,46,428
76561199260714740,66,8182
76561199160212558,19,4526
76561199002292625,34,125738
76561199124604362,19,4460
76561199230360982,14,5265
76561198797650072,14,32833
76561199422588175,6,1390
76561197962889372,339,2299
76561198934205813,39,11069
76561199232889365,3,3521
76561198880528613,52,25802
76561197971683869,120,9264
76561198810914938,18,2776
76561199090660852,6,531
76561198169179255,73,11530
76561199122124926,15,2957
76561199214035520,9,26768
76561198844368748,39,19506
76561199383047487,4,1250
76561198944929099,27,3418
76561199094201020,50,4142
76561198864308451,113,32585
76561198995280383,53,17450
76561199001460644,32,6896
76561198981712965,20,10087
76561199143383570,64,16747
76561199466835882,1,1643
76561199114198481,12,12167
76561199274552387,27,49369
76561199447603613,55,21656
76561199249746951,35,153298
76561198868732374,16,7339
76561198320387511,17,17077
76561198400446476,34,15678
76561198016225947,71,35138
76561199075893315,20,456
76561199130857369,20,28108
76561199122023010,76,12867
76561198365698868,27,936
76561199168360010,23,3837
76561198153405245,260,21771
76561199184994042,4,1096
76561198073592500,29,343
76561199472261817,32,7024
76561199135309334,15,4335
76561199392873423,42,5899
76561198841787173,87,2772
76561199487590315,10,1188
76561199436064113,7,1778
76561198862061969,55,12267
76561199143972966,4,3686
76561199345539917,50,4101
76561199512151196,1,3136
76561198209111637,118,8337
76561198864489120,53,17421
76561199120653167,13,62876
76561198359875800,35,3569
76561198064798667,39,3884
76561199405156877,16,505
76561199387345227,11,4943
76561198020009867,86,2311
76561198184919195,7,6201
76561199087971885,10,6436
76561199121219076,58,7058
76561199442288254,41,5487
76561199165002620,30,60147
76561199522444428,2,3818
76561199006977570,6,13514
76561198988846404,35,5120
76561199188977189,117,1447
76561199235230836,1,846
76561199121460415,79,7622
76561198997810210,114,5046
76561198960663178,15,1858
76561199387997153,23,2071
76561198227257948,24,47655
76561199072751525,12,4205
76561199172319190,24,3909
76561198423987274,7,9316
76561199143423790,11,7533
76561199558656129,4,901
76561199173105109,10,84592
76561199201559833,1,4639
76561199220396741,13,2186
76561199129789732,30,1870
76561199030612295,56,29597
76561199024582074,222,600
76561198388759893,24,1544
76561198090330582,98,6702
76561198862716398,8,5324
76561199529128654,6,1588
76561198073757422,0,5087
76561198802724110,10,33852
