name,defaultvalue,displayName,hidden,icon,icongray,description,player_count
ACH09,0,The Big One!,1,https://steamcdn-a.akamaihd.net/steamcommunity/public/images/apps/271590/7590f7261b3e7ab12d61f1438a0236606f9735df.jpg,https://steamcdn-a.akamaihd.net/steamcommunity/public/images/apps/271590/a5daefa7c1a4f68d3899272d688372d500aa4d76.jpg,,593
ACH10,0,"Solid Gold, Baby!",0,https://steamcdn-a.akamaihd.net/steamcommunity/public/images/apps/271590/2eac4e774d1b6f0cbd46393be4ce008f4559688b.jpg,https://steamcdn-a.akamaihd.net/steamcommunity/public/images/apps/271590/ace92ecb731ba31cab0c89520a50a8d733250af8.jpg,Earn 70 Gold Medals on Missions and Strangers and Freaks.,291
ACH11,0,Career Criminal,0,https://steamcdn-a.akamaihd.net/steamcommunity/public/images/apps/271590/1a0eef51e98dd1709a52d051bb22eadc8e881eb7.jpg,https://steamcdn-a.akamaihd.net/steamcommunity/public/images/apps/271590/eb55b0c4becd9d805fc0f012ec432854f104bfcd.jpg,Attain 100% Game Completion.,288
ACH50,0,San Andreas Sightseer,0,https://steamcdn-a.akamaihd.net/steamcommunity/public/images/apps/271590/d1046370faa06ba5267bb9535155a26c4c907119.jpg,https://steamcdn-a.akamaihd.net/steamcommunity/public/images/apps/271590/532c56191f1d8ec2d41e292fe0d9a1f005d29b46.jpg,Explore all of Los Santos and Blaine County.,387
ACH12,0,All's Fare in Love and War,0,https://steamcdn-a.akamaihd.net/steamcommunity/public/images/apps/271590/10c8e333d937fd6053b08a31fa08ff662908d50a.jpg,https://steamcdn-a.akamaihd.net/steamcommunity/public/images/apps/271590/8e4704d769e13e154ab15f100c8c3120d7a132aa.jpg,Purchase Downtown Cab Co. and complete a private fare.,376
ACH13,0,TP Industries Arms Race,0,https://steamcdn-a.akamaihd.net/steamcommunity/public/images/apps/271590/e7bc238eaa5feeeaf2a608e92bcbe1cc903aae52.jpg,https://steamcdn-a.akamaihd.net/steamcommunity/public/images/apps/271590/0fc3205e9e96c2e2f9a26305957d59031507a0c5.jpg,Purchase McKenzie Field Hangar and win the arms race.,306
ACH14,0,Multi-Disciplined,0,https://steamcdn-a.akamaihd.net/steamcommunity/public/images/apps/271590/01bff94c98380e158d0175075127b03e0c9bf7ac.jpg,https://steamcdn-a.akamaihd.net/steamcommunity/public/images/apps/271590/96575aaa59f577f09023ba772a1859840dcd70fe.jpg,Attain a gold medal in all applicable hobbies and pastimes.,399
ACH15,0,From Beyond the Stars,0,https://steamcdn-a.akamaihd.net/steamcommunity/public/images/apps/271590/261162b00823538d895dabf9ae5f90d7129fdb67.jpg,https://steamcdn-a.akamaihd.net/steamcommunity/public/images/apps/271590/5f2b6b4172fab40806f41ba0a7b62357643a06e9.jpg,Collect and return all spaceship parts.,300
ACH16,0,"A Mystery, Solved",0,https://steamcdn-a.akamaihd.net/steamcommunity/public/images/apps/271590/ecab7eb6da462803fd6e85d40b78c6907fc76cda.jpg,https://steamcdn-a.akamaihd.net/steamcommunity/public/images/apps/271590/47f618743023052cac6d43b63243f037a7de7338.jpg,Solve the mystery of Leonora Johnson.,298
ACH17,0,Waste Management ,0,https://steamcdn-a.akamaihd.net/steamcommunity/public/images/apps/271590/3898b2c3a2d1561fecf3f675179fc0135a45af5e.jpg,https://steamcdn-a.akamaihd.net/steamcommunity/public/images/apps/271590/abb2544237827a1b4556a6bb57a33e3d4567dd29.jpg,Purchase the old dock and collect all nuclear waste.,293
ACH18,0,Red Mist,0,https://steamcdn-a.akamaihd.net/steamcommunity/public/images/apps/271590/81a8d4d47335b034b36878e347483985b183d4a6.jpg,https://steamcdn-a.akamaihd.net/steamcommunity/public/images/apps/271590/09a878e88ee9a22d0f6426d6a894e3e283b6e1e6.jpg,Complete all Rampages.,424
ACH19,0,Show Off,0,https://steamcdn-a.akamaihd.net/steamcommunity/public/images/apps/271590/60e66c0469fb410358c88980c5ceabf00c5aa223.jpg,https://steamcdn-a.akamaihd.net/steamcommunity/public/images/apps/271590/6a05ccfe53aca19e288d36ac963be63f872039d4.jpg,Complete all Stunt Jumps. ,467
ACH20,0,Kifflom!,0,https://steamcdn-a.akamaihd.net/steamcommunity/public/images/apps/271590/1c2b806e21c1e1468e50f13dde87aa54fa135cf3.jpg,https://steamcdn-a.akamaihd.net/steamcommunity/public/images/apps/271590/e44567371761436a127ca1b3c9356c712deb08ba.jpg,You completed the Epsilon program and achieved inner peace.,300
ACH21,0,Three Man Army,0,https://steamcdn-a.akamaihd.net/steamcommunity/public/images/apps/271590/6e5a3b8580136eba15f88b462a2d27bccabe15ab.jpg,https://steamcdn-a.akamaihd.net/steamcommunity/public/images/apps/271590/4777f94f52f3eff5ec1db8a798eddb330b898fa8.jpg,Survive 3 minutes on at least a 3 star Wanted Level with all three characters together off mission.,299
ACH22,0,Out of Your Depth,0,https://steamcdn-a.akamaihd.net/steamcommunity/public/images/apps/271590/c9e52c1880484795d5fa7516776b62fc2800bf57.jpg,https://steamcdn-a.akamaihd.net/steamcommunity/public/images/apps/271590/dffb1cf68c9a540405991885c5df03687a2caa25.jpg,You're gonna need a bigger boat...,325
