appid,genres
372360,rpg
394510,action
418240,"indie, strategy"
429660,"action, rpg"
436670,rpg
440900,"action, adventure, massively multiplayer, rpg, simulation, strategy"
440540,"action, adventure, casual, indie, rpg"
447530,"adventure, indie, simulation"
207140,"action, casual, indie, racing, sports"
651670,"action, indie, rpg, simulation, strategy"
414340,"action, adventure, indie"
589360,"adventure, rpg"
699170,"indie, rpg, strategy"
609150,"action, rpg"
613830,rpg
899440,action
738540,rpg
994730,"indie, rpg, strategy"
1090630,action
1178830,"action, indie"
397540,"action, rpg"
1268750,"action, indie, early access"
1113560,"action, adventure, rpg"
1368030,"action, adventure, indie, rpg"
1948280,"casual, indie, simulation"
2066020,"action, indie, rpg, early access"
368260,"rpg, strategy"
2239150,"action, indie, strategy, early access"
17700,action
259080,"action, adventure"
11450,rpg
9480,action
22370,rpg
32510,"action, adventure"
12150,action
12200,"action, adventure"
110800,"adventure, strategy"
204100,action
213610,action
223470,"action, adventure, indie"
239820,"casual, indie, simulation, strategy"
255480,
261110,action
268910,"action, indie"
274310,"indie, rpg"
222880,"action, indie, strategy"
288470,rpg
312840,"adventure, rpg"
312990,"action, adventure, free to play, indie"
265550,action
307690,"action, adventure, racing"
329430,"action, rpg, simulation"
45740,"action, adventure"
45770,"action, adventure"
367450,"indie, simulation"
28000,action
389730,"action, sports"
394310,"indie, rpg, strategy"
401680,"action, indie"
427190,"action, adventure"
429570,adventure
424280,"action, free to play, indie"
438640,"action, adventure"
365590,"action, adventure, rpg"
50130,action
1030830,"action, adventure"
360430,"action, adventure"
536930,"free to play, rpg"
543460,action
447040,"action, adventure"
571740,"casual, indie, simulation, sports"
577800,"simulation, sports"
460930,"action, adventure"
606800,"casual, indie, simulation, strategy"
611790,"adventure, casual, indie, rpg, simulation"
664430,"simulation, sports"
674400,"action, casual, free to play, indie, strategy"
745920,"adventure, indie, massively multiplayer, rpg"
767560,"action, free to play"
846730,"simulation, sports"
841370,"simulation, sports"
817130,"simulation, sports"
1088710,"action, adventure"
1089350,"simulation, sports"
1255630,"simulation, sports"
1287590,"casual, racing, simulation, sports, strategy"
1225330,"simulation, sports"
1942660,"simulation, sports"
2058180,"action, adventure"
2058190,"action, adventure"
1919590,"simulation, sports"
920210,"action, adventure"
320,action
313120,"adventure, indie"
257510,"action, adventure, indie"
307780,action
367520,"action, adventure, indie"
371660,"action, adventure"
480490,"action, adventure"
499520,adventure
311340,"action, adventure"
911400,"action, adventure"
1151640,"action, adventure, rpg"
250760,"action, adventure, indie"
285330,"simulation, strategy"
418530,"action, indie"
527230,"adventure, indie, rpg, strategy"
409720,"action, rpg"
677160,"adventure, casual, indie"
728880,"action, casual, indie"
1016920,"action, casual, indie"
722560,action
1435790,"adventure, casual, indie, simulation"
1515210,"adventure, indie"
1593500,"action, adventure, rpg"
1637320,"action, adventure, indie, simulation"
1649240,action
1785150,"action, indie"
1843760,"casual, strategy"
1972440,"action, indie, strategy"
698670,"action, adventure, indie"
1282100,"action, adventure, rpg"
1510,"indie, strategy"
6250,"action, strategy"
2280,action
1250,action
24720,"action, simulation"
25890,strategy
39800,"action, indie"
70400,"rpg, indie"
63910,"rpg, strategy"
63800,"adventure, indie, rpg, strategy"
42910,"action, rpg"
80200,"casual, indie, simulation, strategy"
55040,"indie, strategy"
72200,"casual, indie, simulation"
98200,"indie, strategy"
91700,"action, indie, rpg"
98800,"casual, indie, rpg"
107310,"indie, rpg"
22230,"action, indie, racing, strategy"
107200,"action, indie, rpg, strategy"
17710,"action, strategy"
67370,action
208400,"indie, rpg, strategy"
207170,"adventure, indie, rpg"
209830,"action, adventure, indie, rpg, simulation"
209370,indie
204180,"adventure, indie, strategy"
65800,"action, indie, rpg, strategy"
211900,"indie, strategy"
222980,"action, indie, rpg"
231200,"adventure, indie"
230050,indie
230700,"action, adventure, indie"
234900,"action, adventure, indie"
219740,"adventure, indie, simulation"
234650,"adventure, indie, rpg, strategy"
238210,"action, rpg"
210770,"action, indie, strategy"
223830,"indie, simulation, strategy"
241600,"action, adventure, indie, rpg"
242820,"action, indie"
228960,"indie, strategy"
231740,"indie, rpg"
241410,"action, indie, strategy"
243780,strategy
243950,"action, rpg, strategy"
248550,"action, adventure, indie"
248820,"action, indie, rpg"
248860,"indie, rpg, strategy"
249360,"indie, rpg, simulation, strategy"
237890,"adventure, rpg, strategy"
250520,"indie, rpg"
251990,"indie, rpg, simulation, strategy"
252010,"action, indie"
252030,"action, indie, rpg"
252470,"action, adventure, indie, rpg, simulation, strategy"
252630,"action, adventure, indie, rpg"
253230,"adventure, indie"
253650,"action, casual, indie, simulation"
257170,"indie, rpg, simulation, strategy"
249330,"indie, simulation, strategy"
258050,"action, indie, strategy"
259680,"adventure, indie, rpg"
94400,"action, indie, sports"
219830,"action, free to play, indie"
233700,"casual, indie, rpg, strategy"
263320,"indie, rpg"
263560,"adventure, indie, rpg"
264200,"action, casual, indie"
264730,"action, indie"
266210,"indie, rpg"
268130,"action, adventure, indie, strategy"
269010,"indie, rpg"
269210,"action, adventure, indie, massively multiplayer, rpg"
277870,"action, adventure, indie, rpg"
280160,"action, adventure, indie"
280220,"indie, simulation, strategy"
282760,"casual, indie"
238240,"action, adventure, indie, rpg"
296050,rpg
289130,"rpg, strategy"
298630,"action, adventure, indie, simulation, strategy"
292120,rpg
305640,"indie, rpg, strategy"
311480,"action, rpg"
9880,"free to play, massively multiplayer, rpg"
314470,"indie, rpg"
247080,"action, indie, rpg"
313340,"casual, indie, rpg, simulation"
318230,"action, adventure, indie, rpg, strategy"
